scan_bytes,cycles,group
63,709,any/0
49,655,any/0
36,427,any/0
44,507,any/0
31,361,any/0
48,547,any/0
49,655,any/0
85,899,any/0
21,211,$SIP_PORTS/0
23,221,$SIP_PORTS/0
25,231,$SIP_PORTS/0
49,335,$SIP_PORTS/0
24,222,$SIP_PORTS/0
26,236,$SIP_PORTS/0
21,211,$SIP_PORTS/0
23,221,$SIP_PORTS/0
49,335,$SIP_PORTS/0
19,197,$SIP_PORTS/0
21,211,$SIP_PORTS/0
23,221,$SIP_PORTS/0
25,231,$SIP_PORTS/0
49,335,$SIP_PORTS/0
24,222,$SIP_PORTS/0
26,236,$SIP_PORTS/0
21,211,$SIP_PORTS/0
23,221,$SIP_PORTS/0
49,335,$SIP_PORTS/0
44,447,$FTP_PORTS/0
46,461,$FTP_PORTS/0
48,471,$FTP_PORTS/0
50,481,$FTP_PORTS/0
49,257,$FTP_PORTS/0
49,472,$FTP_PORTS/0
51,486,$FTP_PORTS/0
46,461,$FTP_PORTS/0
48,471,$FTP_PORTS/0
49,257,$FTP_PORTS/0
44,447,$FTP_PORTS/0
46,461,$FTP_PORTS/0
48,471,$FTP_PORTS/0
50,481,$FTP_PORTS/0
49,257,$FTP_PORTS/0
49,472,$FTP_PORTS/0
51,486,$FTP_PORTS/0
46,461,$FTP_PORTS/0
48,471,$FTP_PORTS/0
49,289,$ORACLE_PORTS/1
168,1690,$ORACLE_PORTS/1
164,1650,$ORACLE_PORTS/1
164,1638,$ORACLE_PORTS/1
169,1676,$ORACLE_PORTS/1
49,289,$ORACLE_PORTS/1
175,1741,$ORACLE_PORTS/1
186,1837,$ORACLE_PORTS/1
178,1782,$ORACLE_PORTS/1
189,1882,$ORACLE_PORTS/1
49,289,$ORACLE_PORTS/1
168,1690,$ORACLE_PORTS/1
164,1650,$ORACLE_PORTS/1
164,1638,$ORACLE_PORTS/1
169,1676,$ORACLE_PORTS/1
49,289,$ORACLE_PORTS/1
175,1741,$ORACLE_PORTS/1
186,1837,$ORACLE_PORTS/1
90,945,literal/3
59,653,literal/3
49,594,literal/3
69,727,literal/3
105,1119,literal/3
97,1041,literal/3
74,811,literal/3
49,594,literal/3
71,769,literal/3
35,425,literal/3
90,945,literal/3
59,653,literal/3
49,594,literal/3
69,727,literal/3
105,1119,literal/3
97,1041,literal/3
74,811,literal/3
49,594,literal/3
71,769,literal/3
44,507,any/0
31,361,any/0
48,547,any/0
49,655,any/0
85,899,any/0
79,855,any/0
43,493,any/0
63,709,any/0
49,655,any/0
36,427,any/0
44,507,any/0
31,361,any/0
48,547,any/0
49,655,any/0
85,899,any/0
79,855,any/0
43,493,any/0
63,709,any/0
49,655,any/0
24,222,$SIP_PORTS/0
26,236,$SIP_PORTS/0
21,211,$SIP_PORTS/0
23,221,$SIP_PORTS/0
49,335,$SIP_PORTS/0
19,197,$SIP_PORTS/0
21,211,$SIP_PORTS/0
23,221,$SIP_PORTS/0
25,231,$SIP_PORTS/0
49,335,$SIP_PORTS/0
24,222,$SIP_PORTS/0
26,236,$SIP_PORTS/0
21,211,$SIP_PORTS/0
23,221,$SIP_PORTS/0
49,335,$SIP_PORTS/0
19,197,$SIP_PORTS/0
21,211,$SIP_PORTS/0
23,221,$SIP_PORTS/0
25,231,$SIP_PORTS/0
49,257,$FTP_PORTS/0
49,472,$FTP_PORTS/0
51,486,$FTP_PORTS/0
46,461,$FTP_PORTS/0
48,471,$FTP_PORTS/0
49,257,$FTP_PORTS/0
44,447,$FTP_PORTS/0
46,461,$FTP_PORTS/0
48,471,$FTP_PORTS/0
50,481,$FTP_PORTS/0
49,257,$FTP_PORTS/0
49,472,$FTP_PORTS/0
51,486,$FTP_PORTS/0
46,461,$FTP_PORTS/0
48,471,$FTP_PORTS/0
49,257,$FTP_PORTS/0
44,447,$FTP_PORTS/0
46,461,$FTP_PORTS/0
164,1638,$ORACLE_PORTS/1
169,1676,$ORACLE_PORTS/1
49,289,$ORACLE_PORTS/1
175,1741,$ORACLE_PORTS/1
186,1837,$ORACLE_PORTS/1
178,1782,$ORACLE_PORTS/1
189,1882,$ORACLE_PORTS/1
49,289,$ORACLE_PORTS/1
168,1690,$ORACLE_PORTS/1
